Offence Division,Offence Subdivision,Offence Subgroup,Offence Count
A Crimes against the person,Other crimes against the person,Other crimes against the person,141823
A Crimes against the person,A20 Assault and related offences,A231 FV Common assault,135573
A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,96442
A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,81752
A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault,77523
A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A731 FV Threatening behaviour,39052
A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,33357
A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,30327
A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer",29005
A Crimes against the person,A50 Robbery,A51 Aggravated robbery,25779
A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A721 FV Harassment and private nuisance,16777
A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A711 FV Stalking,14342
A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,12019
A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,11287
A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,10385
A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,9807
A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,3467
A Crimes against the person,A80 Dangerous and negligent acts endangering people,A82 Neglect or ill treatment of people,567
B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,536486
B Property and deception offences,B40 Theft,B49 Other theft,457996
B Property and deception offences,B20 Property damage,B21 Criminal damage,376218
B Property and deception offences,B50 Deception,B53 Obtain benefit by deception,290343
B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,250154
B Property and deception offences,B40 Theft,B43 Steal from a retail store,216750
B Property and deception offences,B40 Theft,B41 Motor vehicle theft,180100
B Property and deception offences,B40 Theft,B45 Receiving or handling stolen goods,155877
B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,133229
B Property and deception offences,B40 Theft,B44 Theft of a bicycle,65077
B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,35415
B Property and deception offences,B50 Deception,B51 Forgery and counterfeiting,34185
B Property and deception offences,B20 Property damage,B22 Graffiti,31606
B Property and deception offences,B10 Arson,B11 Cause damage by fire,24786
B Property and deception offences,B50 Deception,B54 State false information,9868
B Property and deception offences,B10 Arson,B19 Other fire related offences,5305
B Property and deception offences,B50 Deception,B59 Other deception offences,4717
B Property and deception offences,B20 Property damage,B29 Other property damage offences,4581
B Property and deception offences,B30 Burglary/Break and enter,B329 Unknown non-aggravated burglary,1395
B Property and deception offences,B50 Deception,B56 Professional malpractice and misrepresentation,1283
B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,1214
B Property and deception offences,B10 Arson,B12 Cause a bushfire,973
B Property and deception offences,B40 Theft,B46 Fare evasion,961
B Property and deception offences,B50 Deception,B55 Deceptive business practices,469
B Property and deception offences,B50 Deception,B52 Possess equipment to make false instrument,195
B Property and deception offences,B30 Burglary/Break and enter,B319 Unknown aggravated burglary,118
B Property and deception offences,B60 Bribery,B61 Bribery of officials,116
C Drug offences,C30 Drug use and possession,C32 Drug possession,232063
C Drug offences,C10 Drug dealing and trafficking,C12 Drug trafficking,45803
C Drug offences,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,10382
C Drug offences,C30 Drug use and possession,C31 Drug use,8496
C Drug offences,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,6375
C Drug offences,C90 Other drug offences,C99 Other drug offences,1175
C Drug offences,C10 Drug dealing and trafficking,C11 Drug dealing,582
C Drug offences,C20 Cultivate or manufacture drugs,C22 Manufacture drugs,7
D Public order and security offences,D10 Weapons and explosives offences,D12 Prohibited and controlled weapons offences,100513
D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,72421
D Public order and security offences,D10 Weapons and explosives offences,D11 Firearms offences,47441
D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,37010
D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,27628
D Public order and security offences,D20 Disorderly and offensive conduct,D25 Criminal intent,15594
D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray,14668
D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,8640
D Public order and security offences,D20 Disorderly and offensive conduct,D26 Disorderly conduct,3593
D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences,3079
D Public order and security offences,D30 Public nuisance offences,D32 Hoaxes,2623
D Public order and security offences,D40 Public security offences,D43 Hacking,1698
D Public order and security offences,D30 Public nuisance offences,D31 Privacy offences,1639
D Public order and security offences,D30 Public nuisance offences,D36 Other public nuisance offences,1291
D Public order and security offences,D30 Public nuisance offences,D33 Begging,1270
D Public order and security offences,D40 Public security offences,D44 Terrorism offences,69
D Public order and security offences,D30 Public nuisance offences,D34 Defamation and libel,49
D Public order and security offences,D40 Public security offences,D49 Other public security offences,27
D Public order and security offences,D40 Public security offences,D41 Immigration offences,21
D Public order and security offences,D40 Public security offences,D42 Sabotage,3
E Justice procedures offences,E20 Breaches of orders,E21 Breach family violence order,391504
E Justice procedures offences,E20 Breaches of orders,E23 Breach bail conditions,141226
E Justice procedures offences,E10 Justice procedures,E13 Resist or hinder officer,76228
E Justice procedures offences,E20 Breaches of orders,E22 Breach intervention order,34091
E Justice procedures offences,E10 Justice procedures,E19 Other justice procedures offences,18008
E Justice procedures offences,E20 Breaches of orders,E29 Breach of other orders,12008
E Justice procedures offences,E10 Justice procedures,E14 Pervert the course of justice or commit perjury,7232
E Justice procedures offences,E10 Justice procedures,E15 Prison regulation offences,6794
E Justice procedures offences,E10 Justice procedures,E11 Escape custody,1557
E Justice procedures offences,E10 Justice procedures,E12 Fail to appear,12
F Other offences,F90 Miscellaneous offences,F92 Public health and safety offences,48932
F Other offences,F20 Transport regulation offences,F21 Public transport,2866
F Other offences,F90 Miscellaneous offences,F93 Cruelty to animals,2029
F Other offences,F30 Other government regulatory offences,F33 Liquor and tobacco licensing offences,1854
F Other offences,F30 Other government regulatory offences,F32 Commercial regulation offences,1090
F Other offences,F20 Transport regulation offences,F23 Maritime regulations offences,996
F Other offences,F30 Other government regulatory offences,F36 Prostitution offences,880
F Other offences,F30 Other government regulatory offences,F39 Other government regulatory offences,822
F Other offences,F20 Transport regulation offences,F29 Other transport regulation offences,700
F Other offences,F90 Miscellaneous offences,F99 Other miscellaneous offences,671
F Other offences,F90 Miscellaneous offences,F91 Environmental offences,641
F Other offences,F30 Other government regulatory offences,F31 Betting and gaming offences,383
F Other offences,F90 Miscellaneous offences,F94 Dangerous substance offences,305
F Other offences,F30 Other government regulatory offences,F34 Pornography and censorship offences,223
F Other offences,F20 Transport regulation offences,F24 Pedestrian offences,149
F Other offences,F10 Regulatory driving offences,F19 Other regulatory driving offences,121
F Other offences,F20 Transport regulation offences,F22 Aviation regulations offences,86
F Other offences,F10 Regulatory driving offences,F11 Drink driving,46
F Other offences,F30 Other government regulatory offences,F35 Intellectual property,35
F Other offences,F10 Regulatory driving offences,F15 Licensing offences,29
F Other offences,F10 Regulatory driving offences,F14 Parking offences,3
F Other offences,F10 Regulatory driving offences,F16 Registration and roadworthiness offences,3
F Other offences,F10 Regulatory driving offences,F12 Drug driving,2
