Offence Subgroup,Offence Count
B42 Steal from a motor vehicle,536486
B49 Other theft,457996
E21 Breach family violence order,391504
B21 Criminal damage,376218
B53 Obtain benefit by deception,290343
B321 Residential non-aggravated burglary,250154
C32 Drug possession,232063
B43 Steal from a retail store,216750
B41 Motor vehicle theft,180100
B45 Receiving or handling stolen goods,155877
Other crimes against the person,141823
E23 Breach bail conditions,141226
A231 FV Common assault,135573
B322 Non-residential non-aggravated burglary,133229
D12 Prohibited and controlled weapons offences,100513
A232 Non-FV Common assault,96442
A212 Non-FV Serious assault,81752
A211 FV Serious assault,77523
E13 Resist or hinder officer,76228
D22 Drunk and disorderly in public,72421
B44 Theft of a bicycle,65077
F92 Public health and safety offences,48932
D11 Firearms offences,47441
C12 Drug trafficking,45803
A731 FV Threatening behaviour,39052
D23 Offensive conduct,37010
B311 Residential aggravated burglary,35415
B51 Forgery and counterfeiting,34185
E22 Breach intervention order,34091
A89 Other dangerous or negligent acts endangering people,33357
B22 Graffiti,31606
A732 Non-FV Threatening behaviour,30327
"A22 Assault police, emergency services or other authorised officer",29005
D35 Improper movement on public or private space,27628
A51 Aggravated robbery,25779
B11 Cause damage by fire,24786
E19 Other justice procedures offences,18008
A721 FV Harassment and private nuisance,16777
D25 Criminal intent,15594
D21 Riot and affray,14668
A711 FV Stalking,14342
A712 Non-FV Stalking,12019
E29 Breach of other orders,12008
A83 Throw or discharge object endangering people,11287
A722 Non-FV Harassment and private nuisance,10385
C21 Cultivate drugs,10382
B54 State false information,9868
A81 Dangerous driving,9807
D24 Offensive language,8640
C31 Drug use,8496
E14 Pervert the course of justice or commit perjury,7232
E15 Prison regulation offences,6794
C23 Possess drug manufacturing equipment or precursor,6375
B19 Other fire related offences,5305
B59 Other deception offences,4717
B29 Other property damage offences,4581
D26 Disorderly conduct,3593
A52 Non-Aggravated robbery,3467
D13 Explosives offences,3079
F21 Public transport,2866
D32 Hoaxes,2623
F93 Cruelty to animals,2029
F33 Liquor and tobacco licensing offences,1854
D43 Hacking,1698
D31 Privacy offences,1639
E11 Escape custody,1557
B329 Unknown non-aggravated burglary,1395
D36 Other public nuisance offences,1291
B56 Professional malpractice and misrepresentation,1283
D33 Begging,1270
B312 Non-residential aggravated burglary,1214
C99 Other drug offences,1175
F32 Commercial regulation offences,1090
F23 Maritime regulations offences,996
B12 Cause a bushfire,973
B46 Fare evasion,961
F36 Prostitution offences,880
F39 Other government regulatory offences,822
F29 Other transport regulation offences,700
F99 Other miscellaneous offences,671
F91 Environmental offences,641
C11 Drug dealing,582
A82 Neglect or ill treatment of people,567
B55 Deceptive business practices,469
F31 Betting and gaming offences,383
F94 Dangerous substance offences,305
F34 Pornography and censorship offences,223
B52 Possess equipment to make false instrument,195
F24 Pedestrian offences,149
F19 Other regulatory driving offences,121
B319 Unknown aggravated burglary,118
B61 Bribery of officials,116
F22 Aviation regulations offences,86
D44 Terrorism offences,69
D34 Defamation and libel,49
F11 Drink driving,46
F35 Intellectual property,35
F15 Licensing offences,29
D49 Other public security offences,27
D41 Immigration offences,21
E12 Fail to appear,12
C22 Manufacture drugs,7
F14 Parking offences,3
D42 Sabotage,3
F16 Registration and roadworthiness offences,3
F12 Drug driving,2
