,0
0,Altona East
1,Ascot (Greater Bendigo)
2,Balcombe
3,Bellfield (Banyule)
4,Cheltenham East
5,Cheltenham North
6,Clayton North
7,Coburg East
8,Coonans Hill
9,Cowes West
10,Fiveways
11,Garden City
12,Golden Point (Ballarat)
13,Green Lake
14,Hastings West
15,Hillside (Melton)
16,Jeeralang North
17,Kangaroo Ground South
18,Kew North
19,Killara (Wodonga)
20,Lara Lake
21,Laverton South
22,Mccrae
23,Mckenzie Hill
24,Mckinnon
25,Mcloughlins Beach
26,Merinda Park
27,Merrijig (Mansfield)
28,Newtown (Greater Geelong)
29,Osborne
30,Patterson Gardens
31,Rosebud South
32,Sanctuary Lakes
33,Studfield
34,Sunnycliffs
35,Syndal
36,Thomson (Greater Geelong)
37,Wallan East
38,Wendouree West
39,Westall
40,Westgarth
41,Woolamai Waters
